Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
101,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"10,208",14.167,0.014650
102,JAMA Internal Medicine,"5,590",14.000,0.039690
103,NEURON,"78,507",13.974,0.222230
104,MOLECULAR CELL,"53,714",13.958,0.192560
105,STUDIES IN MYCOLOGY,"1,932",13.889,0.003560
106,NANO LETTERS,"129,399",13.779,0.367140
107,FEMS MICROBIOLOGY REVIEWS,"9,277",13.687,0.018330
108,MOLECULAR BIOLOGY AND EVOLUTION,"38,486",13.649,0.103310
109,Light-Science & Applications,"1,724",13.600,0.007660
110,PLOS MEDICINE,"20,499",13.585,0.061900
111,Annual Review of Entomology,"10,622",13.534,0.010720
112,Annual Review of Physical Chemistry,"8,077",13.527,0.014050
113,AMERICAN JOURNAL OF PSYCHIATRY,"41,752",13.505,0.046540
113,AMERICAN JOURNAL OF PSYCHIATRY,"41,752",13.505,0.046540
115,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"25,671",13.338,0.103970
116,ACS Nano,"97,676",13.334,0.356820
117,MOLECULAR PSYCHIATRY,"15,797",13.314,0.044400
118,Annual Review of Marine Science,"2,559",13.214,0.013880
119,PROGRESS IN NEUROBIOLOGY,"11,877",13.177,0.020310
120,Nano Today,"5,428",13.157,0.015050
121,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"53,045",13.118,0.092320
122,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"504,778",13.038,0.794640
123,COORDINATION CHEMISTRY REVIEWS,"29,743",12.994,0.036380
124,REPORTS ON PROGRESS IN PHYSICS,"12,755",12.933,0.033440
125,TRENDS IN BIOCHEMICAL SCIENCES,"15,491",12.810,0.031870
126,Annual Review of Cell and Developmental Biology,"8,992",12.755,0.020570
127,Nature Chemical Biology,"15,361",12.709,0.060840
128,Advances in Organometallic Chemistry,829,12.625,0.000580
129,JOURNAL OF CLINICAL INVESTIGATION,"101,063",12.575,0.184750
130,Cell Host & Microbe,"10,638",12.552,0.052150
131,Nature Geoscience,"14,574",12.508,0.084460
132,TRENDS IN NEUROSCIENCES,"18,656",12.504,0.030120
133,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"41,392",12.485,0.085270
134,ANNALS OF THE RHEUMATIC DISEASES,"35,393",12.384,0.075720
135,Advances in Optics and Photonics,"1,072",12.368,0.003650
136,Annual Review of Fluid Mechanics,"8,878",12.333,0.015160
137,Annual Review of Genetics,"7,166",12.235,0.017080
138,Annual Review of Clinical Psychology,"3,653",12.214,0.010960
138,Annual Review of Clinical Psychology,"3,653",12.214,0.010960
140,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"2,927",12.162,0.004420
141,ASTRONOMY AND ASTROPHYSICS REVIEW,"1,315",12.136,0.005770
142,LEUKEMIA,"22,423",12.104,0.063000
143,TRENDS IN BIOTECHNOLOGY,"11,974",12.065,0.019210
144,BLOOD,"158,083",11.847,0.350640
145,TRENDS IN PHARMACOLOGICAL SCIENCES,"10,682",11.840,0.018780
146,HEPATOLOGY,"60,117",11.711,0.116840
147,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"263,526",11.709,0.551120
148,Annual Review of Biophysics,"2,310",11.625,0.012280
149,Alzheimers & Dementia,"7,019",11.619,0.027750
150,Nano Energy,"6,968",11.553,0.017930
151,CIRCULATION RESEARCH,"47,491",11.551,0.085030
152,TRENDS IN CELL BIOLOGY,"11,479",11.532,0.032440
153,REVIEWS OF GEOPHYSICS,"8,280",11.444,0.011540
154,TRENDS IN IMMUNOLOGY,"9,274",11.433,0.024510
155,ADVANCED FUNCTIONAL MATERIALS,"58,245",11.382,0.141640
156,JNCI-Journal of the National Cancer Institute,"37,074",11.370,0.063170
157,ACTA NEUROPATHOLOGICA,"14,701",11.360,0.036920
158,GENOME RESEARCH,"34,396",11.351,0.123650
159,Nature Communications,"75,139",11.329,0.476840
160,GENOME BIOLOGY,"25,081",11.313,0.086660
161,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"24,953",11.257,0.071340
162,JOURNAL OF EXPERIMENTAL MEDICINE,"62,854",11.240,0.105240
163,PROGRESS IN LIPID RESEARCH,"4,814",11.238,0.008480
164,BIOLOGICAL PSYCHIATRY,"42,289",11.212,0.074060
165,HUMAN REPRODUCTION UPDATE,"7,239",11.194,0.016300
166,PHARMACOLOGY & THERAPEUTICS,"12,238",11.000,0.020610
167,NATURAL PRODUCT REPORTS,"8,755",10.986,0.018250
168,Annual Review of Medicine,"5,666",10.954,0.012280
169,TRENDS IN PLANT SCIENCE,"17,092",10.899,0.029730
170,MOLECULAR ASPECTS OF MEDICINE,"4,178",10.860,0.010720
171,AMERICAN JOURNAL OF HUMAN GENETICS,"34,628",10.794,0.080020
172,ECOLOGY LETTERS,"25,887",10.772,0.065740
173,BIOLOGICAL REVIEWS,"8,895",10.725,0.018520
174,JOURNAL OF HEPATOLOGY,"30,983",10.590,0.075700
175,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,"20,918",10.588,0.081560
176,Molecular Systems Biology,"7,682",10.581,0.036220
177,Annual Review of Microbiology,"9,267",10.536,0.014220
178,Nature Reviews Cardiology,"3,360",10.533,0.017600
179,Nature Reviews Rheumatology,"4,314",10.531,0.019970
180,Annual Review of Materials Research,"6,356",10.390,0.011080
181,AMERICAN JOURNAL OF GASTROENTEROLOGY,"31,432",10.383,0.055520
182,Annual Review of Biomedical Engineering,"3,823",10.256,0.006450
183,Annual Review of Public Health,"4,631",10.240,0.007260
183,Annual Review of Public Health,"4,631",10.240,0.007260
185,Wiley Interdisciplinary Reviews-Computational Molecular Science,"2,560",10.234,0.011720
186,INTENSIVE CARE MEDICINE,"18,130",10.125,0.033980
187,BRAIN,"46,207",10.103,0.083780
188,GENES & DEVELOPMENT,"57,109",10.042,0.117120
189,SEMINARS IN CANCER BIOLOGY,"5,600",9.955,0.012870
190,TRENDS IN GENETICS,"10,789",9.858,0.024010
191,BIOTECHNOLOGY ADVANCES,"12,195",9.848,0.024570
192,Academy of Management Annals,"1,530",9.741,0.008340
193,Nature Protocols,"28,066",9.646,0.068550
194,EMBO JOURNAL,"68,016",9.643,0.106940
195,ANNALS OF NEUROLOGY,"32,995",9.638,0.059440
196,2D Materials,514,9.611,0.002800
197,EMBO Molecular Medicine,"4,471",9.547,0.023190
198,IMMUNOLOGICAL REVIEWS,"13,384",9.542,0.036880
199,JAMA Pediatrics,"2,548",9.528,0.015660
200,TRENDS IN MICROBIOLOGY,"9,700",9.500,0.020250
201,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,"2,608",9.472,0.006320
202,Nature Reviews Nephrology,"2,897",9.463,0.014830
203,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"593,284",9.423,1.321970
204,CHEMISTRY OF MATERIALS,"88,075",9.407,0.126730
205,PROGRESS IN RETINAL AND EYE RESEARCH,"4,591",9.394,0.009880
206,Annual Review of Ecology Evolution and Systematics,"17,547",9.352,0.012580
207,MASS SPECTROMETRY REVIEWS,"3,994",9.346,0.005510
208,DEVELOPMENTAL CELL,"24,023",9.338,0.083330
209,EPIDEMIOLOGIC REVIEWS,"3,157",9.333,0.003940
210,ISME Journal,"13,569",9.328,0.055840
211,JOURNAL OF PINEAL RESEARCH,"6,914",9.314,0.007790
212,Annual Review of Phytopathology,"6,396",9.308,0.007010
213,ACS Catalysis,"15,646",9.307,0.051870
214,TRENDS IN MOLECULAR MEDICINE,"7,703",9.292,0.020480
215,ANNALS OF ONCOLOGY,"30,516",9.269,0.093950
216,IEEE Communications Surveys and Tutorials,"4,172",9.220,0.020370
217,NUCLEIC ACIDS RESEARCH,"143,465",9.202,0.363840
218,Cold Spring Harbor Perspectives in Biology,"9,184",9.173,0.058550
219,Chemical Science,"20,983",9.144,0.088930
220,MEDICINAL RESEARCH REVIEWS,"3,710",9.135,0.005360
221,Autophagy,"10,957",9.108,0.035990
222,Materials Horizons,917,9.095,0.003060
223,ACTA NUMERICA,"1,498",9.000,0.004130
223,Microbiome,698,9.000,0.004120
225,CURRENT BIOLOGY,"49,471",8.983,0.141790
226,Health Psychology Review,841,8.976,0.003030
227,TRENDS IN ENDOCRINOLOGY AND METABOLISM,"6,826",8.964,0.019340
228,ARTHRITIS AND RHEUMATISM,"45,624",8.955,0.067520
229,DIABETES CARE,"60,339",8.934,0.116910
230,Nano Research,"7,188",8.893,0.019870
231,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"3,222",8.867,0.007840
232,Theranostics,"2,813",8.854,0.009590
233,FRONTIERS IN NEUROENDOCRINOLOGY,"3,407",8.852,0.007250
234,CURRENT OPINION IN CELL BIOLOGY,"13,034",8.851,0.031840
235,Geochemical Perspectives,115,8.800,0.000800
236,DIABETES,"51,024",8.784,0.086710
237,NPG Asia Materials,"1,806",8.772,0.007650
238,GONDWANA RESEARCH,"8,546",8.743,0.023920
239,CLINICAL CANCER RESEARCH,"74,312",8.738,0.152880
240,CLINICAL INFECTIOUS DISEASES,"53,258",8.736,0.123010
241,JOURNAL OF CELL BIOLOGY,"67,778",8.717,0.109690
242,Physical Review X,"4,168",8.701,0.033010
243,PLOS BIOLOGY,"25,871",8.668,0.079360
244,Particle and Fibre Toxicology,"3,245",8.649,0.009140
245,Physics of Life Reviews,"1,124",8.615,0.002740
246,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"18,522",8.580,0.045210
247,ANNALS OF SURGERY,"43,775",8.569,0.072910
248,CANCER RESEARCH,"139,464",8.556,0.180760
249,Journal of Physical Chemistry Letters,"26,225",8.539,0.118650
250,PLANT CELL,"47,208",8.538,0.075120
251,FISH AND FISHERIES,"2,902",8.521,0.007050
252,GREEN CHEMISTRY,"28,472",8.506,0.053310
253,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"7,340",8.504,0.018760
254,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"32,376",8.491,0.056530
255,AUTOIMMUNITY REVIEWS,"6,972",8.490,0.018480
256,SEMINARS IN IMMUNOLOGY,"3,951",8.461,0.011100
257,GLOBAL CHANGE BIOLOGY,"28,320",8.444,0.076790
258,ENVIRONMENTAL HEALTH PERSPECTIVES,"34,909",8.443,0.053550
259,BRIEFINGS IN BIOINFORMATICS,"3,898",8.399,0.014050
260,BIOMATERIALS,"95,025",8.387,0.148530
261,Lancet HIV,209,8.364,0.000750
262,Annual Review of Genomics and Human Genetics,"2,431",8.347,0.007010
263,EUROPEAN RESPIRATORY JOURNAL,"30,252",8.332,0.052870
264,APPLIED CATALYSIS B-ENVIRONMENTAL,"40,175",8.328,0.057140
265,Small,"30,275",8.315,0.077240
266,CURRENT OPINION IN BIOTECHNOLOGY,"12,429",8.314,0.025970
267,Earth System Science Data,703,8.286,0.005460
268,CEREBRAL CORTEX,"26,911",8.285,0.068060
269,eLife,"7,951",8.282,0.068430
270,Journal of Materials Chemistry A,"41,927",8.262,0.109000
271,JAMA Neurology,"3,176",8.230,0.017180
272,SYSTEMATIC BIOLOGY,"13,741",8.225,0.032010
273,CELL DEATH AND DIFFERENTIATION,"16,945",8.218,0.035610
274,METABOLIC ENGINEERING,"5,218",8.201,0.012590
275,CRITICAL REVIEWS IN MICROBIOLOGY,"2,001",8.192,0.003720
276,NEUROLOGY,"76,804",8.166,0.118130
277,CLINICAL PSYCHOLOGY REVIEW,"11,509",8.146,0.023130
278,LAND DEGRADATION & DEVELOPMENT,"2,873",8.145,0.004730
279,THORAX,"19,740",8.121,0.033020
280,ECOLOGICAL MONOGRAPHS,"9,501",8.037,0.008920
281,BMC Medicine,"7,331",8.005,0.031150
282,Annual Review of Analytical Chemistry,"1,742",8.000,0.004670
282,National Science Review,239,8.000,0.001420
284,CANCER TREATMENT REVIEWS,"6,110",7.983,0.014690
285,DRUG RESISTANCE UPDATES,"2,222",7.950,0.003940
286,ONCOGENE,"64,269",7.932,0.094170
287,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"16,505",7.929,0.037780
288,INTERNATIONAL MATERIALS REVIEWS,"3,211",7.914,0.004420
289,Nanotoxicology,"3,466",7.913,0.009500
290,Journal of Cachexia Sarcopenia and Muscle,901,7.883,0.003030
291,Cell Reports,"12,553",7.870,0.102160
